pair_key,cv_id,cv_level,cv_category,job_id,job_title,job_category,rank,high_dims,cohere_relevance,gptoss_relevance,llama_relevance,final_relevance,cohere_skills,gptoss_skills,llama_skills,final_skills,cohere_experience,gptoss_experience,llama_experience,final_experience,cohere_education,gptoss_education,llama_education,final_education,job_experience,job_education_level,cv_experience_years,cv_education_level,cv_education_field,cv_technical_skills,job_requirements_tags,job_technical_skills
bds_L4_6bfd53767bb4463720b123ebc03a27c2_5,bds_L4,L4,Bất động sản,6bfd53767bb4463720b123ebc03a27c2,Admin Dự Án (Căn Hộ Dịch Vụ),Bất động sản,5,experience_match,7,7,3,6,7,8,5,7,9,4,2,4,7,8,6,7,Dưới 1 năm,Cao đẳng,6,Đại học,Kinh tế,Sales bất động sản; B2C; Direct Sales; Quản lý dự án bất động sản; Giám đốc dự án bất động sản,Quản lý dự án bất động sản; Bất động sản,Quản lý dự án bất động sản
bds_L4_7d079b4b1f713fe7edd7cfb413cd3aef_4,bds_L4,L4,Bất động sản,7d079b4b1f713fe7edd7cfb413cd3aef,Nhân Viên Kinh Doanh / Tư Vấn / Sales Bất Động Sản,Bất động sản,4,experience_match,7,7,7,7,7,7,8,7,10,4,10,4,7,8,9,8,Không yêu cầu,Cao đẳng,6,Đại học,Kinh tế,Sales bất động sản; B2C; Direct Sales; Quản lý dự án bất động sản; Giám đốc dự án bất động sản,,Chuyên môn Kinh doanh/Bán hàng khác; Bất động sản; B2B; B2C; Direct Sales
bds_L4_921b61b86e73bd5c2a0fa22475f0d82e_10,bds_L4,L4,Bất động sản,921b61b86e73bd5c2a0fa22475f0d82e,Nhân Viên Kinh Doanh / Tư Vấn / Sales Bất Động Sản,Bất động sản,10,experience_match,7,7,7,6,6,6,6,6,10,4,10,4,7,8,9,8,Không yêu cầu,Cao đẳng,6,Đại học,Kinh tế,Sales bất động sản; B2C; Direct Sales; Quản lý dự án bất động sản; Giám đốc dự án bất động sản,,Excel; AutoCAD; Python; SAP
bds_L4_f3285daaa63b2a31d61f0cbb4d9e3dd9_15,bds_L4,L4,Bất động sản,f3285daaa63b2a31d61f0cbb4d9e3dd9,Nhân Viên Kinh Doanh/Sales BĐS/Tư Vấn Bán Hàng - Phỏng Vấn Nhân Việc Ngay (Chế Độ Hấp Dẫn),Bất động sản,15,experience_match,7,5,7,6,7,4,8,7,10,4,10,4,7,8,7,7,Không yêu cầu,Trung học,6,Đại học,Kinh tế,Sales bất động sản; B2C; Direct Sales; Quản lý dự án bất động sản; Giám đốc dự án bất động sản,,Sales bất động sản/Môi giới bất động sản; Bất động sản; B2B; B2C; Direct Sales; Online Sales
bds_L4b_6bfd53767bb4463720b123ebc03a27c2_6,bds_L4b,L4b,Bất động sản,6bfd53767bb4463720b123ebc03a27c2,Admin Dự Án (Căn Hộ Dịch Vụ),Bất động sản,6,relevance_score;skills_match;experience_match,5,8,2,6,6,9,4,8,4,5,0,4,7,8,6,7,Dưới 1 năm,Cao đẳng,7,Đại học,Kinh tế,Quản lý dự án bất động sản; Giám đốc dự án bất động sản; Sales B2B; Telesales; Direct Sales; Quản lý vận hành bất động sản khác; Bảo hiểm; Ngân hàng,Quản lý dự án bất động sản; Bất động sản,Quản lý dự án bất động sản
bds_L4b_70615d0a6923e30854ea35dba94c7202_10,bds_L4b,L4b,Bất động sản,70615d0a6923e30854ea35dba94c7202,Chuyên Viên Đầu Tư Phát Triển Dự Án,Bất động sản,10,skills_match,7,5,8,7,7,2,7,6,7,6,6,6,10,10,10,10,5 năm,Đại học,7,Đại học,Kinh tế,Quản lý dự án bất động sản; Giám đốc dự án bất động sản; Sales B2B; Telesales; Direct Sales; Quản lý vận hành bất động sản khác; Bảo hiểm; Ngân hàng,Quản lý dự án bất động sản; Bất động sản; Xây dựng,Microsoft Office; PowerPoint; Word; Excel; Phần mềm dự toán; AutoCAD
bds_L4b_7d079b4b1f713fe7edd7cfb413cd3aef_5,bds_L4b,L4b,Bất động sản,7d079b4b1f713fe7edd7cfb413cd3aef,Nhân Viên Kinh Doanh / Tư Vấn / Sales Bất Động Sản,Bất động sản,5,experience_match,7,6,5,6,7,6,6,6,10,4,10,4,7,8,9,8,Không yêu cầu,Cao đẳng,7,Đại học,Kinh tế,Quản lý dự án bất động sản; Giám đốc dự án bất động sản; Sales B2B; Telesales; Direct Sales; Quản lý vận hành bất động sản khác; Bảo hiểm; Ngân hàng,,Chuyên môn Kinh doanh/Bán hàng khác; Bất động sản; B2B; B2C; Direct Sales
bds_L4b_921b61b86e73bd5c2a0fa22475f0d82e_7,bds_L4b,L4b,Bất động sản,921b61b86e73bd5c2a0fa22475f0d82e,Nhân Viên Kinh Doanh / Tư Vấn / Sales Bất Động Sản,Bất động sản,7,experience_match,7,5,5,5,5,4,4,4,10,4,10,4,7,8,9,8,Không yêu cầu,Cao đẳng,7,Đại học,Kinh tế,Quản lý dự án bất động sản; Giám đốc dự án bất động sản; Sales B2B; Telesales; Direct Sales; Quản lý vận hành bất động sản khác; Bảo hiểm; Ngân hàng,,Excel; AutoCAD; Python; SAP
bds_P2_d3baab157fe54f4c6135b0ef11d38b42_10,bds_P2,P2,Bất động sản,d3baab157fe54f4c6135b0ef11d38b42,Lễ Tân Phòng Khám - Vinmec Central Park,Lao động phổ thông,10,education_match,5,6,4,5,4,7,3,4,10,9,10,10,7,2,4,5,Không yêu cầu,Cao đẳng,2,Trung cấp,Du lịch,Quản lý hàng hóa; Phục vụ khách hàng,Lễ tân/Đón tiếp; Y tế / Dược phẩm,giao tiếp tiếng Anh khá; khả năng giao tiếp tốt; tư duy về dịch vụ khách hàng
bds_P2_e64a793e79b507d7cfba0808d84d5117_3,bds_P2,P2,Bất động sản,e64a793e79b507d7cfba0808d84d5117,Warehouse Admin (Nhân Viên Hành Chính Kho),Hành chính nhân sự,3,experience_match,4,5,2,4,3,4,1,3,9,6,3,5,7,3,4,4,Dưới 1 năm,Cao đẳng,2,Trung cấp,Du lịch,Quản lý hàng hóa; Phục vụ khách hàng,Hành chính kho; Logistic / Vận tải; Kho vận,warehouse management systems; office applications; Excel; AutoCAD; Python; SAP
bds_P2_f6238a52435180210acdd42e0ec67300_14,bds_P2,P2,Bất động sản,f6238a52435180210acdd42e0ec67300,Sales (Warehouse Fulfillment Service),Nhân viên kinh doanh,14,education_match,4,5,3,4,4,4,2,4,3,5,2,3,7,2,4,5,4 năm,Cao đẳng,2,Trung cấp,Du lịch,Quản lý hàng hóa; Phục vụ khách hàng,Sales Xuất nhập khẩu/Logistics khác; Logistic / Vận tải; Kho vận; Bán lẻ - Hàng tiêu dùng - FMCG; B2C; B2B; Direct Sales,Sales Xuất nhập khẩu/Logistics khác; Logistic / Vận tải; Kho vận; Bán lẻ - Hàng tiêu dùng - FMCG; B2C; B2B; Direct Sales
bds_P_393569e29b4b58bc0f81851017ed3cd8_5,bds_P,P,Bất động sản,393569e29b4b58bc0f81851017ed3cd8,"CHUYÊN VIÊN TƯ VẤN TÀI CHÍNH -SHINHAN BANK ( Pico Plaza, Phường Bảy Hiền)",Ngân hàng,5,experience_match,4,5,2,4,3,4,1,3,10,9,3,5,7,8,6,7,Dưới 1 năm,Trung cấp,2,Đại học,Công nghệ thông tin,Python; Java; JavaScript,,giao tiếp; thuyết phục và đàm phán; làm việc độc lập và làm việc nhóm hiệu quả; tinh thần trách nhiệm cao; trung thực và chịu được áp lực công việc; kỹ năng sử dụng các công cụ hỗ trợ bán hàng (CRM; phần mềm quản lý khách hàng); kỹ năng sử dụng tin học văn phòng (Word; Excel; PowerPoint)
bds_P_3d70186b1b7186e76993b29dca7ae421_2,bds_P,P,Bất động sản,3d70186b1b7186e76993b29dca7ae421,Middle Web System Engineer (Python/VueJS),IT,2,skills_match,7,5,8,7,6,2,7,4,10,10,9,10,10,10,10,10,2 năm,Đại học,2,Đại học,Công nghệ thông tin,Python; Java; JavaScript,,PHP (FuelPHP); Python (FastAPI); JavaScript/TypeScript (VueJS); Postgresql; Elasticsearch; Redis; AWS; Linux; Git; Bitbucket Pipelines; Docker
bds_P_3ef4c70e843c8b027eb6f49cf3f4257e_1,bds_P,P,Bất động sản,3ef4c70e843c8b027eb6f49cf3f4257e,Trưởng Khối Vận Hành (Head Of Operations),Lao động phổ thông,1,education_match,2,3,2,2,1,4,1,1,2,3,0,2,3,10,10,5,Trên 5 năm,Đại học,2,Đại học,Công nghệ thông tin,Python; Java; JavaScript,Chuyên môn Nhà hàng/Dịch vụ ăn uống khác,Quản lý vận hành; Kỹ năng quản lý đa thương hiệu; Khả năng làm việc dưới áp lực cao
bds_P_b56466a49185c5e7ac3a46dce4c4f9c2_9,bds_P,P,Bất động sản,b56466a49185c5e7ac3a46dce4c4f9c2,Chuyên Viên Quy Hoạch Và Quản Lý Hiệu Quả Nhân Sự,Hành chính nhân sự,9,experience_match;education_match,3,2,2,3,0,1,0,0,5,9,0,9,0,7,7,7,,,2,Đại học,Công nghệ thông tin,Python; Java; JavaScript,,
bds_P_d040b13ab80f50ff495b8afd443c0f52_12,bds_P,P,Bất động sản,d040b13ab80f50ff495b8afd443c0f52,Frontend Developer,IT,12,skills_match;experience_match,3,3,6,4,2,2,7,1,3,8,5,5,7,10,10,10,3 năm,Đại học,2,Đại học,Công nghệ thông tin,Python; Java; JavaScript,,React.js; Vue.js; Next.js; Nuxt.js; JavaScript/TypeScript; React Hooks; Context API; Redux; Vue 3; Composition API; Pinia/Vuex; HTML5; CSS3; SASS/SCSS; Tailwind CSS; Git; responsive design; cross-browser compatibility
bds_P_d12916f218d2f899ccf9ed77e6566cec_15,bds_P,P,Bất động sản,d12916f218d2f899ccf9ed77e6566cec,Quản Lý Phòng Khám (Thẩm Mỹ Thanh Hằng Beauty Medi),Telesales,15,education_match,2,2,2,2,1,1,1,1,0,3,0,0,1,8,7,7,5 năm,Cao đẳng,2,Đại học,Công nghệ thông tin,Python; Java; JavaScript,Quản lý Kinh doanh khác; Chăm sóc sức khỏe / Làm đẹp; May mặc / Thời trang; B2B; B2C; B2G; Direct Sales; Bán hàng tại cửa hàng/showroom; Telesales,Quản lý Kinh doanh khác; Chăm sóc sức khỏe / Làm đẹp; May mặc / Thời trang; B2B; B2C; B2G; Direct Sales; Bán hàng tại cửa hàng/showroom; Telesales
cskh_L1_21e374ac9c4191dfb45bdc896cc76ac5_12,cskh_L1,L1,Chăm sóc khách hàng,21e374ac9c4191dfb45bdc896cc76ac5,Nhân Viên Chăm Sóc Khách Hàng| Telesales,Chăm sóc khách hàng,12,experience_match,5,6,5,5,3,5,2,3,8,7,2,9,7,7,7,7,1 năm,,0,Đại học,Kinh doanh,Excel; Tiếng Anh,Chăm sóc khách hàng,Excel; AutoCAD; Python; SAP
cskh_L1_fadbf9fddd686b0aba832143a92a3355_9,cskh_L1,L1,Chăm sóc khách hàng,fadbf9fddd686b0aba832143a92a3355,Nhân Viên Chăm Sóc Khách Hàng,Chăm sóc khách hàng,9,experience_match,7,7,5,7,7,7,6,7,8,5,3,5,7,8,7,7,1 năm,Cao đẳng,0,Đại học,Kinh doanh,Excel; Tiếng Anh,Chăm sóc khách hàng; Y tế / Dược phẩm; Quan hệ công chúng; Nhà hàng / Khách sạn,giao tiếp xuất sắc; kỹ năng giải quyết vấn đề và xử lý tình huống tốt; khả năng làm việc độc lập và làm việc nhóm hiệu quả
cskh_L3_124f4256f0d6a862038089b366463a3e_1,cskh_L3,L3,Chăm sóc khách hàng,124f4256f0d6a862038089b366463a3e,"Nhân Viên Chăm Sóc Khách Hàng Hỗ Trợ Dịch Vụ (Ca Đêm) / Customer Service - Tiếng Anh Tốt, Thu Nhập Hấp Dẫn",Chăm sóc khách hàng,1,experience_match,7,7,5,6,7,6,6,6,8,4,3,5,7,8,7,7,Dưới 1 năm,Trung cấp,3,Đại học,Kinh doanh,Excel; Tiếng Anh; Call Center; Customer Experience,Dịch vụ khách hàng/Chăm sóc khách hàng khác; IT - Phần mềm,Kiến thức về phần mềm; Tiếng anh giao tiếp tốt
cskh_L3_12dc6cb1ab0030d1747743ac523bbcce_6,cskh_L3,L3,Chăm sóc khách hàng,12dc6cb1ab0030d1747743ac523bbcce,"Nhân Viên Chăm Sóc Khách Hàng (Nữ), Lương Cạnh Tranh Theo Năng Lực, HCM",Chăm sóc khách hàng,6,experience_match,7,5,5,6,7,4,6,6,8,5,2,5,7,8,8,8,Dưới 1 năm,Cao đẳng,3,Đại học,Kinh doanh,Excel; Tiếng Anh; Call Center; Customer Experience,Chăm sóc khách hàng; May mặc / Thời trang; Marketing / Quảng cáo,Excel; Word; PowerPoint; Salesforce; CRM; Marketing Automation; Customer Relationship Management
cskh_L3_af60ceb0acad1b2c513fc664c6dfadc9_2,cskh_L3,L3,Chăm sóc khách hàng,af60ceb0acad1b2c513fc664c6dfadc9,"Nhân Viên Chăm Sóc Khách Hàng (Nữ), Lương Cạnh Tranh Theo Năng Lực, HCM",Chăm sóc khách hàng,2,experience_match,7,5,5,6,6,4,6,6,8,5,3,5,7,8,7,7,Dưới 1 năm,Cao đẳng,3,Đại học,Kinh doanh,Excel; Tiếng Anh; Call Center; Customer Experience,,Excel; AutoCAD; Python; SAP; Word; Excel
cskh_L4_4161488f5c40c84bf2e9f82b1e698e49_9,cskh_L4,L4,Chăm sóc khách hàng,4161488f5c40c84bf2e9f82b1e698e49,Nhân Viên Vận Hành Xử Lý Đơn Hàng,Chăm sóc khách hàng,9,experience_match,7,7,6,6,6,8,5,6,10,4,10,4,7,8,7,7,Không yêu cầu,Cao đẳng,6,Đại học,Kinh doanh,Excel; Tiếng Anh; Call Center; Customer Experience; Logistic,Chuyên môn Dịch vụ khách hàng/Vận hành khác,Excel; AutoCAD; Python; SAP
cskh_L4_4f15c0759a7c8958a3d20e01ea0c6215_13,cskh_L4,L4,Chăm sóc khách hàng,4f15c0759a7c8958a3d20e01ea0c6215,Nhân Viên Chăm Sóc Khách Hàng,Chăm sóc khách hàng,13,experience_match,6,5,6,6,5,6,4,5,10,4,10,4,7,8,8,8,Không yêu cầu,Cao đẳng,6,Đại học,Kinh doanh,Excel; Tiếng Anh; Call Center; Customer Experience; Logistic,,Excel; AutoCAD; Python; SAP
cskh_L4_90c81ec8e7e2d0fde869ddf09b995492_8,cskh_L4,L4,Chăm sóc khách hàng,90c81ec8e7e2d0fde869ddf09b995492,Nhân Viên Chăm Sóc Khách Hàng Tiếng Anh - Không Yêu Cầu Kinh Nghiệm - Thu Nhập 15 - 23 Triệu - Tại HCM,Chăm sóc khách hàng,8,experience_match,7,7,8,6,7,9,7,7,10,4,10,4,7,7,9,7,Không yêu cầu,,6,Đại học,Kinh doanh,Excel; Tiếng Anh; Call Center; Customer Experience; Logistic,,giao tiếp tiếng Anh (tương đương IELTS 5.0+/B1 trở lên); Excel cơ bản; thực hiện công việc theo ca; luân phiên ca hàng tháng; sử dụng tinh thần trách nhiệm và chịu được áp lực trong công việc
cskh_L4_af60ceb0acad1b2c513fc664c6dfadc9_3,cskh_L4,L4,Chăm sóc khách hàng,af60ceb0acad1b2c513fc664c6dfadc9,"Nhân Viên Chăm Sóc Khách Hàng (Nữ), Lương Cạnh Tranh Theo Năng Lực, HCM",Chăm sóc khách hàng,3,experience_match,7,5,4,5,6,5,5,5,7,4,2,4,7,8,8,8,Dưới 1 năm,Cao đẳng,6,Đại học,Kinh doanh,Excel; Tiếng Anh; Call Center; Customer Experience; Logistic,,Excel; AutoCAD; Python; SAP; Word; Excel
cskh_L4_d9477e1b11710b99d38f8afffebd047d_4,cskh_L4,L4,Chăm sóc khách hàng,d9477e1b11710b99d38f8afffebd047d,Nhân Viên Chăm Sóc Khách Hàng,Chăm sóc khách hàng,4,experience_match,7,7,6,7,7,6,7,7,7,5,2,5,7,9,8,8,1 năm,Trung cấp,6,Đại học,Kinh doanh,Excel; Tiếng Anh; Call Center; Customer Experience; Logistic,,CRM; Ngôn ngữ Anh
cskh_L4b_124f4256f0d6a862038089b366463a3e_6,cskh_L4b,L4b,Chăm sóc khách hàng,124f4256f0d6a862038089b366463a3e,"Nhân Viên Chăm Sóc Khách Hàng Hỗ Trợ Dịch Vụ (Ca Đêm) / Customer Service - Tiếng Anh Tốt, Thu Nhập Hấp Dẫn",Chăm sóc khách hàng,6,experience_match,7,7,3,7,7,8,6,7,7,4,0,4,7,8,9,8,Dưới 1 năm,Trung cấp,7,Đại học,Quản trị kinh doanh,Excel; Tiếng Anh IELTS 6.5; Call Center/Trực tổng đài; Customer Experience; Logistic / Vận tải; Xuất nhập khẩu / Hải quan; Kiến thức về phần mềm,Dịch vụ khách hàng/Chăm sóc khách hàng khác; IT - Phần mềm,Kiến thức về phần mềm; Tiếng anh giao tiếp tốt
cskh_L4b_526b6a5c136210bb26159bc9b387ce7c_12,cskh_L4b,L4b,Chăm sóc khách hàng,526b6a5c136210bb26159bc9b387ce7c,Nhân Viên Chăm Sóc Khách Hàng Tiếng Trung (Nữ),Chăm sóc khách hàng,12,experience_match,7,5,6,6,6,6,7,6,10,4,5,4,7,8,9,8,Không yêu cầu,Cao đẳng,7,Đại học,Quản trị kinh doanh,Excel; Tiếng Anh IELTS 6.5; Call Center/Trực tổng đài; Customer Experience; Logistic / Vận tải; Xuất nhập khẩu / Hải quan; Kiến thức về phần mềm,,Tiếng Trung HSK 4; Tiếng Trung HSK 5; Tiếng Anh Đọc hiểu; Tiếng Anh TOEIC 700
cskh_L4b_b41cb15e31e07b9c20c9f18fce0c36bf_13,cskh_L4b,L4b,Chăm sóc khách hàng,b41cb15e31e07b9c20c9f18fce0c36bf,Nhân Viên Chăm Sóc Khách Hàng Tiếng Trung (Nữ),Chăm sóc khách hàng,13,experience_match,7,7,6,7,7,8,7,7,10,4,10,4,7,8,9,8,Không yêu cầu,Cao đẳng,7,Đại học,Quản trị kinh doanh,Excel; Tiếng Anh IELTS 6.5; Call Center/Trực tổng đài; Customer Experience; Logistic / Vận tải; Xuất nhập khẩu / Hải quan; Kiến thức về phần mềm,Chăm sóc khách hàng; Tài chính; Thương mại điện tử; IT - Phần cứng và máy tính,Excel; Word
cskh_P2_31f94b71b9ece5490c0d975496a785f7_10,cskh_P2,P2,Chăm sóc khách hàng,31f94b71b9ece5490c0d975496a785f7,Giáo Viên Tiếng Anh (Toeic - Giao Tiếp) - Fulltime,Giáo dục,10,skills_match;experience_match,1,4,2,3,1,6,2,4,0,6,8,5,1,2,4,2,Dưới 1 năm,Đại học,2,Trung cấp,Kế toán,SAP; AutoCAD,,Excel; AutoCAD; Python; SAP
cskh_P2_bc10e325808bd3a8936168eea7938483_6,cskh_P2,P2,Chăm sóc khách hàng,bc10e325808bd3a8936168eea7938483,Thiết Kế Đồ Họa,Thiết kế đồ họa,6,experience_match;education_match,1,3,2,3,1,4,1,1,0,6,4,5,0,10,7,5,3 năm,Trung cấp,2,Trung cấp,Kế toán,SAP; AutoCAD,,Excel; AutoCAD; Python; SAP; Revit; SketchUp; 3ds Max
cskh_P2_e92fe0f25fadb955d7462df748dbfb0b_4,cskh_P2,P2,Chăm sóc khách hàng,e92fe0f25fadb955d7462df748dbfb0b,Trưởng Nhóm Thiết Kế/Graphic Designer,Thiết kế đồ họa,4,education_match,1,2,0,1,0,3,0,0,0,2,0,0,0,5,2,2,Trên 5 năm,Đại học,2,Trung cấp,Kế toán,SAP; AutoCAD,Thiết kế đồ họa (Graphic Design),Adobe Photoshop; Adobe Illustrator; Adobe InDesign
cskh_P_25c96711e7ff20a97e4199f4474cfb90_10,cskh_P,P,Chăm sóc khách hàng,25c96711e7ff20a97e4199f4474cfb90,AI Engineer - Hồ Chí Minh,IT,10,skills_match,6,5,7,5,5,3,8,3,7,8,8,8,7,8,9,8,1 năm,Cao đẳng,2,Đại học,Công nghệ thông tin,Java; Python,,Python; tool automation (Make; Zapier; n8n); API; data flow; AI tools (GPT; embeddings; prompt)
cskh_P_393569e29b4b58bc0f81851017ed3cd8_11,cskh_P,P,Chăm sóc khách hàng,393569e29b4b58bc0f81851017ed3cd8,"CHUYÊN VIÊN TƯ VẤN TÀI CHÍNH -SHINHAN BANK ( Pico Plaza, Phường Bảy Hiền)",Ngân hàng,11,experience_match,5,4,2,3,4,2,1,2,9,9,3,5,7,8,6,7,Dưới 1 năm,Trung cấp,2,Đại học,Công nghệ thông tin,Java; Python,,giao tiếp; thuyết phục và đàm phán; làm việc độc lập và làm việc nhóm hiệu quả; tinh thần trách nhiệm cao; trung thực và chịu được áp lực công việc; kỹ năng sử dụng các công cụ hỗ trợ bán hàng (CRM; phần mềm quản lý khách hàng); kỹ năng sử dụng tin học văn phòng (Word; Excel; PowerPoint)
cskh_P_3d70186b1b7186e76993b29dca7ae421_8,cskh_P,P,Chăm sóc khách hàng,3d70186b1b7186e76993b29dca7ae421,Middle Web System Engineer (Python/VueJS),IT,8,skills_match,7,4,7,6,7,1,6,4,10,10,9,10,10,10,10,10,2 năm,Đại học,2,Đại học,Công nghệ thông tin,Java; Python,,PHP (FuelPHP); Python (FastAPI); JavaScript/TypeScript (VueJS); Postgresql; Elasticsearch; Redis; AWS; Linux; Git; Bitbucket Pipelines; Docker
cskh_P_3ef4c70e843c8b027eb6f49cf3f4257e_7,cskh_P,P,Chăm sóc khách hàng,3ef4c70e843c8b027eb6f49cf3f4257e,Trưởng Khối Vận Hành (Head Of Operations),Lao động phổ thông,7,education_match,2,2,2,2,1,2,1,1,2,1,0,1,3,9,10,5,Trên 5 năm,Đại học,2,Đại học,Công nghệ thông tin,Java; Python,Chuyên môn Nhà hàng/Dịch vụ ăn uống khác,Quản lý vận hành; Kỹ năng quản lý đa thương hiệu; Khả năng làm việc dưới áp lực cao
cskh_P_6ab62df42ffa0205400bb950ba3b7ab6_6,cskh_P,P,Chăm sóc khách hàng,6ab62df42ffa0205400bb950ba3b7ab6,"Lập Trình Viên Java (Product Domain Bank, Fintech)",Ngân hàng,6,skills_match,6,4,6,6,6,1,7,4,5,8,5,5,7,10,9,9,3 năm,Cao đẳng,2,Đại học,Công nghệ thông tin,Java; Python,Backend Developer,Java Core; Oracle; Spring+Hibernate; PrimeFaces; Docker; K8S
